Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Andrés Céspedes,2000043877.0,5.0,11.12,14.5,8.0,4.83,4.67,7.75,12.42,alaves
José Curras,67294881.0,13.0,13.0,13.5,10.67,8.17,11.0,10.5,14.08,alaves
Arnar Bragason,2000357424.0,14.33,14.62,12.5,8.5,9.33,9.83,11.0,13.08,alaves
Arnau Comas,67258409.0,13.33,13.25,14.0,11.0,8.5,9.5,14.5,12.75,alaves
Javi López,67293674.0,14.0,13.88,14.75,13.17,11.0,13.17,13.0,11.5,alaves
Lirim Kastrati,24058534.0,4.5,13.0,18.0,9.33,12.0,10.67,7.0,10.33,alaves
Schurrle,83223653.0,10.17,12.62,13.0,15.33,12.33,13.0,8.0,12.5,alaves
Ibrahim Sangaré,48042717.0,13.67,14.5,11.0,12.33,9.83,11.5,14.25,12.17,alaves
Asier Rodríguez,2000572954.0,6.0,11.25,15.0,11.33,8.67,15.33,7.0,11.08,alaves
0,2000068663.0,9.0,8.5,14.0,10.5,13.0,14.67,14.5,12.58,alaves
Xabier Garmendia,2000631378.0,7.5,15.62,14.5,13.17,15.5,15.33,14.0,14.17,alaves
Carlos Abad,67198215.0,5.83,10.62,9.0,10.5,5.83,6.17,8.0,11.92,alaves
David Martínez,14136117.0,14.0,12.88,13.5,12.5,9.5,12.0,12.0,12.75,alaves
Ander Imaz,2000439533.0,4.33,13.5,16.0,12.0,9.83,14.0,6.0,9.75,alaves
Rafa Mir,67221051.0,7.17,14.5,14.0,11.0,13.17,11.67,15.0,11.25,alaves
Samir Kacem,2000433838.0,13.33,13.88,14.0,8.83,6.5,10.33,12.0,14.5,alaves
Vyacheslav Karavaev,58076747.0,14.0,11.38,13.0,12.17,11.5,11.67,10.0,13.25,alaves
Joseph Ngwem,2000202611.0,4.0,14.38,14.0,10.83,12.83,12.67,11.25,11.58,alaves
Birger Meling,29126536.0,12.0,10.5,11.0,9.67,9.83,10.5,7.0,13.58,alaves
Adil Aouchiche,49048441.0,6.33,12.75,14.25,14.33,14.0,14.33,11.0,11.75,alaves
Alexander Sørloth,53063430.0,4.83,13.75,12.5,12.17,14.17,13.0,14.5,13.42,alaves
Luca Sangalli,67190076.0,11.5,11.88,9.0,12.33,12.0,11.83,4.0,13.08,alaves
Borja Sainz,67277845.0,10.17,11.38,14.0,13.33,12.83,13.33,9.5,11.33,alaves
Suleimane Rodrigues,2000190096.0,10.33,13.0,11.5,13.33,10.83,11.5,10.25,10.17,alaves
Stefan Ranđelović,62247042.0,5.67,10.88,11.5,10.0,6.17,7.0,8.0,13.83,alaves
Rubén Garrido,2000515088.0,7.33,14.12,11.5,13.0,11.83,11.67,10.0,13.08,alaves
Mauricio Morán,2000192669.0,6.5,13.25,10.5,7.33,4.33,3.83,7.0,12.17,albacete
Ángel Luis Arcas,2000571805.0,11.5,13.12,14.25,10.83,11.17,12.0,13.25,13.33,albacete
Juan Ángel Muñoz,2000512204.0,13.33,12.38,13.0,9.5,7.5,8.33,13.5,13.75,albacete
Ricardo Peralta,2000438819.0,12.67,11.75,11.5,7.0,7.17,8.0,14.5,14.33,albacete
Josep,2000513274.0,13.0,15.75,15.0,9.5,8.17,9.0,9.0,12.42,albacete
Ramiro Gabarri,2000198124.0,4.17,14.38,15.0,13.83,11.83,13.33,9.5,10.08,albacete
Gustavo Zamora,2000512210.0,5.17,13.38,14.0,13.17,11.5,13.83,10.25,10.33,albacete
Mamadou Coly,2000440193.0,6.5,13.62,15.5,11.33,8.67,11.67,8.0,10.17,albacete
Luis Nsambi,2000631649.0,7.33,12.62,12.75,15.0,11.5,14.83,11.5,11.83,albacete
Alberto,2000512206.0,6.0,13.12,13.0,14.33,12.67,14.67,10.5,10.33,albacete
Bright Adjei,2000660374.0,6.33,12.5,12.0,11.67,13.33,15.33,8.5,11.83,albacete
Guillermo Centurión,78095397.0,5.83,9.62,11.0,8.5,3.83,7.0,8.0,11.0,albacete
Kike Barja,67196202.0,7.83,11.38,12.5,14.33,11.67,14.0,7.5,11.83,albacete
Ezequiel Aranda,14246685.0,6.33,14.38,15.0,11.83,14.0,14.83,10.5,13.42,albacete
Álex Olmedo,2000034591.0,7.33,12.0,14.0,12.67,9.0,13.0,6.5,9.83,albacete
Raúl De Tomás,67156425.0,6.5,9.62,10.5,13.67,14.83,12.0,11.5,11.67,albacete
Sem Westerveld,37079077.0,3.67,8.25,7.0,3.67,4.0,2.67,8.0,10.83,albacete
Fali,67155014.0,13.0,7.88,7.75,9.83,9.0,10.17,13.5,14.5,albacete
Chema Nuñez,67232678.0,9.0,10.0,12.0,14.83,11.5,12.83,6.0,10.33,albacete
Antonio Sánchez,67272744.0,11.0,11.62,12.25,12.17,11.33,9.33,8.5,12.08,albacete
Fran Pérez,95078306.0,7.33,11.5,14.5,12.17,9.83,14.17,11.0,9.67,albacete
Diego Moreno,2000024303.0,12.67,12.88,15.5,9.5,9.17,10.33,8.0,12.08,albacete
Junior Esparragoza,2000179937.0,14.0,14.0,11.5,9.67,7.17,7.33,11.0,14.08,albacete
Francisco Jesús Carbonell,2000440196.0,10.83,12.88,13.0,15.0,10.67,13.67,11.0,13.17,albacete
Jan Oblak,64016316.0,6.67,9.25,6.5,13.33,6.5,8.83,8.0,14.33,amadrd
Marc Jurado,2000032704.0,12.33,14.0,17.0,12.33,11.0,14.33,9.5,12.0,amadrd
Nehuén Pérez,14181374.0,16.0,15.0,15.5,10.33,10.0,10.67,13.5,15.33,amadrd
Malang Sarr,48036830.0,14.0,15.5,15.5,13.0,11.67,13.0,13.5,14.5,amadrd
